nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
7,cyclohexanone,C6H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0752-6.xml,
2,pyridine,C5H5N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0792-y.xml,
3,3-methylpyridine,C6H7N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0792-y.xml,
4,4-methylpyridine,C6H7N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0792-y.xml,
5,2-methylpyridine,C6H7N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0792-y.xml,
6,"2,6-dimethylpyridine",C7H9N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0792-y.xml,
1,"4-methyl-1,3-dioxolan-2-one",C4H6O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0860-3.xml,
4,"2,4-pentanedione",C5H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0860-3.xml,
1,4-aminobutanoic acid,C4H9NO2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0862-1.xml,
3,"N,N-dimethylimidodicarbonimidic diamide hydrochloride",C4H12ClN5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0862-1.xml,
3,"2,2,2-trifluoroethyl 1,1,2,2-tetrafluoroethyl ether",C4H3F7O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0766-0.xml,
1,"2,3,3,3-tetrafluoro-1-propene",C3H2F4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0885-7.xml,
3,"1,2-dibromoethane",C2H4Br2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0874-x.xml,
4,tetrachloroethene,C2Cl4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0874-x.xml,
1,pentafluorobenzene,C6HF5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0886-6.xml,
1,zinc,Zn,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
2,chlorine,Cl2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
4,nitrogen,N2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
6,zinc chloride,Cl2Zn,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
7,hydrogen chloride,ClH,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
